Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
9.0406,0,29.85,0.243,
9.0423,0,29.85,0.243,
9.044,0,29.85,0.243,
9.0457,0,29.85,0.243,
9.0474,0,29.85,0.243,
9.0491,0,29.85,0.243,
9.0508,0,29.85,0.243,
9.0525,0,29.85,0.243,
9.0542,0,29.85,0.243,
9.0559,0,29.85,0.243,
9.0576,0,29.85,0.243,
9.0593,0,29.85,0.243,
9.061,0,29.85,0.243,
9.0627,0,29.85,0.243,
9.0644,0,29.85,0.243,
